order_dow,order_hour_of_day,category,items
2,18,cookies cakes,1
2,18,eggs,1
2,18,energy granola bars,1
2,18,fresh fruits,1
2,18,fresh vegetables,5
2,18,frozen meals,2
2,18,preserved dips spreads,1
2,18,refrigerated,1
2,15,packaged vegetables fruits,1
2,15,tea,1
2,15,yogurt,1
2,13,crackers,1
2,13,dish detergents,1
2,13,fresh fruits,3
2,13,fresh vegetables,4
2,13,milk,1
2,13,packaged cheese,1
2,13,packaged vegetables fruits,1
2,13,soft drinks,1
2,13,spices seasonings,2
2,13,water seltzer sparkling water,1
2,13,yogurt,1
2,12,frozen pizza,1
2,12,ice cream ice,1
2,12,missing,1
2,12,soy lactosefree,1
2,12,canned meals beans,1
2,12,fresh fruits,1
2,12,frozen meals,1
2,12,frozen meat seafood,1
2,12,grains rice dried goods,1
2,12,instant foods,1
2,9,candy chocolate,1
2,9,canned jarred vegetables,1
2,9,fresh fruits,5
2,9,fresh vegetables,1
2,9,juice nectars,1
2,9,lunch meat,1
2,9,oils vinegars,1
2,9,packaged produce,3
2,9,packaged vegetables fruits,1
2,21,condiments,3
2,21,crackers,2
2,21,frozen meals,5
2,21,packaged cheese,1
2,21,tortillas flat bread,2
2,18,canned fruit applesauce,1
2,18,dish detergents,1
2,18,fresh herbs,1
2,18,fresh vegetables,2
2,18,frozen produce,1
2,18,preserved dips spreads,1
2,18,soy lactosefree,1
2,18,water seltzer sparkling water,1
2,14,cleaning products,1
2,14,fresh vegetables,1
2,14,water seltzer sparkling water,1
2,15,butter,1
2,15,chips pretzels,1
2,15,fresh vegetables,1
2,15,grains rice dried goods,1
2,15,milk,1
2,15,poultry counter,1
2,9,canned meals beans,1
2,9,condiments,1
2,9,fresh vegetables,2
2,9,other creams cheeses,2
2,9,packaged vegetables fruits,1
2,9,soup broth bouillon,1
2,9,breakfast bakery,1
2,9,energy granola bars,2
2,9,ice cream ice,3
2,9,laundry,1
2,9,missing,2
2,9,paper goods,2
2,9,soft drinks,1
2,9,water seltzer sparkling water,1
2,18,fresh fruits,2
2,18,packaged vegetables fruits,1
2,14,baking ingredients,2
2,14,bulk dried fruits vegetables,1
2,14,fresh dips tapenades,1
2,14,fresh fruits,6
2,14,fresh herbs,1
2,14,fresh pasta,1
2,14,fresh vegetables,3
2,14,grains rice dried goods,2
2,14,ice cream ice,1
2,14,juice nectars,1
2,14,milk,1
2,14,oils vinegars,1
2,14,packaged cheese,1
2,14,packaged vegetables fruits,2
2,14,refrigerated,1
2,14,soy lactosefree,1
2,14,bread,2
2,14,canned jarred vegetables,1
2,14,cream,1
