order_dow,order_hour_of_day,category,items
0,8,baby food formula,1
0,8,canned meals beans,1
0,8,cereal,1
0,8,food storage,1
0,8,fresh fruits,6
0,8,fresh vegetables,1
0,8,frozen produce,2
0,8,fruit vegetable snacks,2
0,8,grains rice dried goods,1
0,8,hot dogs bacon sausage,1
0,8,ice cream ice,2
0,8,milk,1
0,8,missing,1
0,8,packaged cheese,1
0,8,packaged vegetables fruits,1
0,8,paper goods,1
0,8,pasta sauce,1
0,8,tortillas flat bread,2
0,8,yogurt,2
0,15,fresh vegetables,3
0,15,marinades meat preparation,1
0,16,breakfast bakery,1
0,16,frozen produce,1
0,16,milk,1
0,16,other creams cheeses,2
0,10,bread,1
0,10,eggs,1
0,10,fresh fruits,1
0,10,fresh vegetables,1
0,10,milk,1
0,10,packaged vegetables fruits,1
0,18,bread,1
0,18,condiments,1
0,18,eggs,1
0,18,fresh fruits,1
0,18,ice cream ice,1
0,18,milk,1
0,18,packaged poultry,1
0,18,packaged vegetables fruits,2
0,18,paper goods,1
0,18,spreads,1
0,17,fresh fruits,3
0,17,fresh vegetables,1
0,17,ice cream ice,1
0,17,juice nectars,1
0,17,packaged vegetables fruits,3
0,17,baby accessories,1
0,17,energy granola bars,2
0,17,hot cereal pancake mixes,1
0,17,water seltzer sparkling water,1
0,15,fresh fruits,8
0,15,fresh vegetables,2
0,15,packaged vegetables fruits,2
0,19,bread,1
0,19,cream,1
0,19,fresh vegetables,2
0,19,packaged cheese,1
0,15,bread,1
0,15,breakfast bakery,1
0,15,buns rolls,1
0,15,canned meals beans,1
0,15,crackers,1
0,15,cream,1
0,15,dry pasta,1
0,15,fresh fruits,2
0,15,fresh herbs,1
0,15,fresh vegetables,4
0,15,frozen meals,4
0,15,frozen produce,1
0,15,hot dogs bacon sausage,1
0,15,marinades meat preparation,1
0,15,milk,1
0,15,packaged cheese,1
0,15,refrigerated,1
0,15,seafood counter,1
0,15,soup broth bouillon,2
0,15,tofu meat alternatives,1
0,15,water seltzer sparkling water,1
0,15,yogurt,2
0,12,milk,1
0,12,packaged cheese,1
0,12,packaged produce,1
0,12,packaged vegetables fruits,1
0,12,yogurt,1
0,16,breakfast bakery,1
0,16,bulk grains rice dried goods,1
0,16,fresh fruits,3
0,16,fresh vegetables,2
0,16,packaged cheese,1
0,16,paper goods,1
0,16,soup broth bouillon,1
0,16,soy lactosefree,1
0,16,water seltzer sparkling water,1
0,16,fresh fruits,2
0,12,candy chocolate,1
0,12,fresh fruits,2
0,12,missing,1
0,12,packaged vegetables fruits,1
0,12,refrigerated,1
0,12,tea,1
0,12,water seltzer sparkling water,1
0,11,energy granola bars,1
0,11,fresh fruits,1
0,11,frozen vegan vegetarian,2
0,11,instant foods,1
0,11,packaged vegetables fruits,1
0,11,water seltzer sparkling water,1
0,15,eggs,1
0,15,fresh fruits,1
0,15,fresh herbs,1
0,15,packaged produce,1
0,15,packaged vegetables fruits,3
0,15,soy lactosefree,1
0,13,bread,1
0,13,fresh dips tapenades,1
0,13,fresh fruits,3
0,13,milk,1
0,13,yogurt,1
0,21,fresh fruits,2
0,21,fresh vegetables,9
0,21,frozen produce,2
0,21,milk,1
0,21,packaged vegetables fruits,1
0,17,candy chocolate,1
0,17,eggs,1
0,17,oral hygiene,1
0,17,butter,1
0,18,condiments,1
0,18,fresh fruits,1
0,18,fresh herbs,2
0,18,fresh vegetables,3
0,18,frozen produce,1
0,18,hot dogs bacon sausage,1
0,18,milk,1
0,18,packaged cheese,1
0,18,packaged poultry,1
0,18,packaged vegetables fruits,3
0,18,poultry counter,1
0,18,soy lactosefree,1
0,18,specialty cheeses,1
0,17,fresh dips tapenades,1
0,17,fresh fruits,1
0,17,paper goods,1
0,17,soy lactosefree,1
0,17,yogurt,1
0,10,crackers,1
0,10,eggs,1
0,10,food storage,1
0,10,fresh dips tapenades,1
0,10,fresh fruits,6
0,10,fresh vegetables,3
0,10,frozen appetizers sides,1
0,10,frozen breakfast,1
0,10,hot dogs bacon sausage,1
0,10,ice cream ice,2
0,10,juice nectars,3
0,10,lunch meat,2
0,10,missing,2
0,10,nuts seeds dried fruit,1
0,10,oils vinegars,1
0,10,packaged cheese,3
0,10,packaged meat,1
0,10,packaged seafood,1
0,10,packaged vegetables fruits,2
0,10,pasta sauce,1
0,10,protein meal replacements,1
0,10,refrigerated,1
0,10,soy lactosefree,3
0,10,tea,1
0,10,tortillas flat bread,1
0,10,yogurt,4
0,21,buns rolls,1
0,21,cream,1
0,21,energy granola bars,1
0,21,fresh fruits,1
0,21,fresh vegetables,5
0,21,frozen produce,2
0,21,packaged vegetables fruits,3
0,21,poultry counter,1
0,21,soy lactosefree,1
