order_dow,order_hour_of_day,category,items
3,15,canned fruit applesauce,1
3,15,eggs,1
3,15,fresh vegetables,1
3,15,frozen produce,1
3,15,juice nectars,1
3,15,laundry,1
3,15,salad dressing toppings,1
3,15,shave needs,1
3,10,asian foods,2
3,10,breakfast bakery,1
3,10,buns rolls,1
3,10,canned jarred vegetables,2
3,10,canned meat seafood,1
3,10,crackers,1
3,10,fresh fruits,2
3,10,fresh herbs,1
3,10,fresh vegetables,6
3,10,instant foods,1
3,10,juice nectars,1
3,10,pasta sauce,1
3,10,soup broth bouillon,1
3,10,specialty cheeses,1
3,10,yogurt,2
3,15,condiments,1
3,15,dry pasta,1
3,15,fresh fruits,1
3,15,frozen produce,1
3,15,nuts seeds dried fruit,1
3,15,soy lactosefree,1
3,15,spices seasonings,1
3,19,baby food formula,1
3,19,bread,1
3,19,cereal,1
3,19,dry pasta,1
3,19,energy granola bars,1
3,19,fresh dips tapenades,1
3,19,fresh fruits,1
3,19,fresh vegetables,3
3,19,frozen produce,1
3,19,hot dogs bacon sausage,1
3,19,lunch meat,1
3,19,milk,1
3,19,nuts seeds dried fruit,1
3,19,packaged cheese,2
3,19,packaged vegetables fruits,2
3,19,popcorn jerky,1
3,19,water seltzer sparkling water,1
3,13,bread,1
3,13,canned jarred vegetables,1
3,13,condiments,1
3,13,cream,1
3,13,eggs,1
3,13,fresh fruits,1
3,13,missing,1
3,13,nuts seeds dried fruit,1
3,13,packaged cheese,4
3,13,packaged vegetables fruits,4
3,13,prepared soups salads,1
3,13,soup broth bouillon,1
3,13,spices seasonings,1
3,13,water seltzer sparkling water,1
3,14,cookies cakes,1
3,14,frozen appetizers sides,1
3,14,frozen meals,2
3,14,yogurt,2
3,16,baking ingredients,1
3,16,soy lactosefree,2
3,16,spices seasonings,1
3,13,asian foods,1
3,13,candy chocolate,1
3,13,fresh fruits,1
3,13,fruit vegetable snacks,1
3,13,lunch meat,1
3,13,refrigerated,1
3,13,trail mix snack mix,1
3,13,yogurt,2
3,22,fresh fruits,4
3,22,fresh vegetables,3
3,22,grains rice dried goods,1
3,22,hot cereal pancake mixes,1
3,22,instant foods,1
3,22,lunch meat,1
3,22,pasta sauce,1
3,22,pickled goods olives,1
3,22,soy lactosefree,2
3,22,trail mix snack mix,1
3,22,water seltzer sparkling water,1
3,13,bread,1
3,13,cream,2
3,13,fresh vegetables,1
3,13,frozen produce,1
3,13,packaged produce,2
3,13,soup broth bouillon,1
3,15,baking ingredients,1
3,15,breakfast bakery,1
3,15,buns rolls,1
3,15,candy chocolate,2
3,15,chips pretzels,1
3,15,crackers,1
3,15,fresh vegetables,1
3,15,frozen pizza,1
3,15,laundry,1
3,15,preserved dips spreads,1
3,15,water seltzer sparkling water,1
3,15,fresh fruits,1
3,15,frozen meals,1
3,15,milk,1
3,15,prepared meals,1
3,0,cold flu allergy,2
3,0,fresh fruits,1
3,0,fresh vegetables,8
3,0,paper goods,1
3,0,soup broth bouillon,2
3,0,spices seasonings,1
3,0,water seltzer sparkling water,1
3,8,energy sports drinks,1
3,8,fresh dips tapenades,1
3,8,fresh fruits,3
3,8,hot cereal pancake mixes,1
3,8,instant foods,4
3,8,milk,1
3,8,packaged poultry,1
3,8,yogurt,1
3,9,bakery desserts,1
3,9,bread,1
3,9,cereal,1
3,9,packaged produce,1
